Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Etat arc_Barré;Etat arc_Invalide
AV_Champs_Elysees;2022-08-03 22:00:00;296.25;3.77458875;0;0;1
AV_Champs_Elysees;2022-08-03 21:00:00;369.5;4.8647275;0;0;1
AV_Champs_Elysees;2022-08-03 20:00:00;442.75;5.95486625;0;0;1
AV_Champs_Elysees;2022-08-03 19:00:00;516.0;7.045005;0;0;1
AV_Champs_Elysees;2022-08-03 18:00:00;589.25;8.13514375;0;0;1
AV_Champs_Elysees;2022-08-03 17:00:00;662.5;9.225282499999999;0;0;1
AV_Champs_Elysees;2022-08-03 16:00:00;735.75;10.31542125;0;0;1
AV_Champs_Elysees;2022-05-02 00:00:00;809.0;11.40556;1;0;1
AV_Champs_Elysees;2022-05-01 18:00:00;1045.0;44.58611;3;0;1
AV_Champs_Elysees;2022-05-01 14:00:00;1045.0;44.44167;3;0;1
AV_Champs_Elysees;2022-05-01 13:00:00;1038.0;49.09167;3;0;1
AV_Champs_Elysees;2022-05-01 09:00:00;502.0;21.06444;2;0;1
AV_Champs_Elysees;2022-05-01 08:00:00;404.0;6.82111;1;0;1
AV_Champs_Elysees;2022-05-01 07:00:00;483.0;6.23278;1;0;1
AV_Champs_Elysees;2022-08-04 12:00:00;485.44444444444446;6.186915555555555;0;0;1
AV_Champs_Elysees;2022-08-04 10:00:00;487.8888888888889;6.1410511111111115;0;0;1
AV_Champs_Elysees;2022-08-04 09:00:00;490.3333333333333;6.095186666666667;0;0;1
AV_Champs_Elysees;2022-08-04 08:00:00;492.77777777777777;6.049322222222222;0;0;1
AV_Champs_Elysees;2022-08-04 07:00:00;495.22222222222223;6.003457777777778;0;0;1
AV_Champs_Elysees;2022-08-04 06:00:00;497.6666666666667;5.9575933333333335;0;0;1
AV_Champs_Elysees;2022-08-04 02:00:00;500.1111111111111;5.911728888888889;0;0;1
AV_Champs_Elysees;2022-08-04 01:00:00;502.55555555555554;5.865864444444445;0;0;1
AV_Champs_Elysees;2022-02-17 02:00:00;505.0;5.82;1;0;1
AV_Champs_Elysees;2022-02-17 04:00:00;560.0;2.93278;1;0;1
AV_Champs_Elysees;2022-02-17 05:00:00;762.0;4.17778;1;0;1
AV_Champs_Elysees;2022-02-17 09:00:00;1258.0;13.79;1;0;1
AV_Champs_Elysees;2022-02-17 10:00:00;1294.0;17.38611;2;0;1
AV_Champs_Elysees;2022-02-17 16:00:00;1147.0;26.68889;2;0;1
AV_Champs_Elysees;2022-02-17 17:00:00;1078.0;22.98334;2;0;1
AV_Champs_Elysees;2022-02-17 20:00:00;1168.0;23.67167;2;0;1
AV_Champs_Elysees;2022-02-17 22:00:00;840.0;15.46445;2;0;1
AV_Champs_Elysees;2022-02-17 23:00:00;805.0;15.12667;2;0;1
AV_Champs_Elysees;2022-02-18 00:00:00;786.0;11.69611;1;0;1
AV_Champs_Elysees;2022-06-11 23:00:00;1185.0;57.45278;4;0;1
AV_Champs_Elysees;2022-06-11 22:00:00;1254.0;30.55778;3;0;1
AV_Champs_Elysees;2022-06-11 20:00:00;1216.0;29.12945;2;0;1
AV_Champs_Elysees;2022-06-11 17:00:00;1232.0;35.78222;3;0;1
AV_Champs_Elysees;2022-06-11 14:00:00;1061.0;39.72167;3;0;1
AV_Champs_Elysees;2022-06-11 13:00:00;990.0;69.15222;4;0;1
AV_Champs_Elysees;2022-06-11 10:00:00;735.0;17.27722;2;0;1
AV_Champs_Elysees;2022-06-11 08:00:00;489.0;14.29945;1;0;1
AV_Champs_Elysees;2022-06-11 05:00:00;480.0;4.28722;1;0;1
AV_Champs_Elysees;2022-06-11 04:00:00;833.0;8.09722;1;0;1
AV_Champs_Elysees;2022-06-11 03:00:00;1178.0;16.39556;2;0;1
AV_Champs_Elysees;2022-06-11 02:00:00;1051.0;16.44945;2;0;1
AV_Champs_Elysees;2022-05-09 17:00:00;973.0;23.47611;2;0;1
AV_Champs_Elysees;2021-11-11 00:00:00;914.0;13.99611;1;0;1
AV_Champs_Elysees;2021-11-10 23:00:00;985.0;15.51333;2;0;1
AV_Champs_Elysees;2021-11-10 22:00:00;1025.0;16.76445;2;0;1
AV_Champs_Elysees;2021-11-10 21:00:00;1136.0;22.35556;2;0;1
AV_Champs_Elysees;2021-11-10 20:00:00;1149.0;22.05834;2;0;1
AV_Champs_Elysees;2021-11-10 18:00:00;1106.0;32.17611;3;0;1
AV_Champs_Elysees;2021-11-10 17:00:00;1095.0;22.57778;2;0;1
AV_Champs_Elysees;2021-11-10 16:00:00;1127.0;29.23889;2;0;1
AV_Champs_Elysees;2021-11-10 15:00:00;1124.0;25.86945;2;0;1
AV_Champs_Elysees;2021-11-10 14:00:00;1236.0;37.07556;3;0;1
AV_Champs_Elysees;2021-11-10 12:00:00;1146.0;24.16167;2;0;1
AV_Champs_Elysees;2021-11-10 10:00:00;1108.0;23.85445;2;0;1
AV_Champs_Elysees;2021-11-10 09:00:00;1112.0;19.96722;2;0;1
AV_Champs_Elysees;2021-11-10 04:00:00;270.0;3.24389;1;0;1
