Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
191;Sts_Peres;2022-02-10T17:00:00+01:00;655.0;9.47722;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-02-10T15:00:00+01:00;650.0;9.52055;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-02-10T14:00:00+01:00;593.0;8.58222;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-02-10T13:00:00+01:00;646.0;14.97222;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-02-10T11:00:00+01:00;589.0;9.98722;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-02-10T09:00:00+01:00;568.0;7.11556;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-02-10T07:00:00+01:00;183.0;2.18167;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-02-10T05:00:00+01:00;43.0;0.61889;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-02-10T04:00:00+01:00;59.0;0.81944;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-02-10T03:00:00+01:00;107.0;1.26222;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-02-10T01:00:00+01:00;355.0;4.02389;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-03-16T10:00:00+01:00;657.0;8.88278;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-05-04T23:00:00+02:00;362.0;4.24723;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-02-19T00:00:00+01:00;585.0;7.70944;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-02-18T22:00:00+01:00;655.0;8.51;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-02-18T19:00:00+01:00;705.0;8.67667;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-02-18T17:00:00+01:00;700.0;16.98944;Pré-saturé;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
